document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7744897959183673,0.7734072018813105,0.7604649602191887,35
17,0.47375192420831364,0.4433720001570932,0.4598457967152262,29
25,0.7901234567901234,0.8717681623931625,0.7848533072108219,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.8475793650793652,0.8428201482799972,0.8502600428254169,20
47,0.5079530638852673,0.76778131237877,0.5012291324022057,59
51,0.7808123781478014,0.6549711430446602,0.7773195765174226,22
60,0.7779235503725299,0.758459817212659,0.7635738130485118,49
65,0.3017199017199017,0.37994429878518604,0.2960136188156393,37
66,0.1760797342192691,0.2843213681111952,0.17510442054643044,43
