document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.29541666666666666,0.3787620773834009,0.2890671435839952,40
17,0.4212962962962963,0.41268380356978795,0.38978209189511814,8
25,0.4888888888888889,0.651957671957672,0.4772984895383555,15
43,0.1,0.1,0.1,10
45,0.2,0.2953957515685096,0.20000000000000004,15
47,0.21052631578947367,0.3494539516211343,0.21052631578947367,19
51,0.18181818181818182,0.2953561589925226,0.18181818181818182,11
60,0.016339869281045753,0.11598471362638177,0.016009388343294004,153
65,0.06042351223074114,0.1799278873482919,0.05804797976226394,83
66,0.012987012987012988,0.13104940964518888,0.012987012987012988,77
