document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7810204081632653,0.7991558125383881,0.7667506003022866,35
17,0.43908045977011495,0.4488397876169843,0.4408486951673072,29
25,0.8012345679012346,0.8828080484330484,0.7910945727061235,18
43,0.12121212121212123,0.3160630544288114,0.12137961302981148,11
45,0.9313186813186813,0.8734661910669976,0.9316395229183998,20
47,0.47235424650678887,0.6964099845621656,0.4637081996976536,59
51,0.88510101010101,0.7225209589429713,0.8917157146236008,22
60,0.7724813735017817,0.7408022505206042,0.7520152953263936,49
65,0.18869778869778872,0.30378939195971616,0.18083121128650778,37
66,0.10677371723883351,0.23363069482622506,0.09401502337524953,43
