document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7744897959183673,0.7734072018813105,0.7604649602191887,35
17,0.5883892758132109,0.5412606918596172,0.5715163908113117,29
25,0.7901234567901234,0.8717681623931625,0.7848533072108219,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.8935409035409035,0.8385801171719847,0.887787368973503,20
47,0.4847085118271559,0.627871625822907,0.4787742250559207,59
51,0.8267676767676768,0.6535338922674842,0.83396139625766,22
60,0.7697602850664075,0.7499060024623184,0.7457908363100153,49
65,0.24725634725634726,0.3299295545936869,0.24182543014423016,37
66,0.15282392026578073,0.26568869866340034,0.15184860659294205,43
