document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7100742115027829,0.7261890417997106,0.6928492068851928,35
17,0.4196286472148541,0.4345064204479571,0.41662851292730957,29
25,0.7928104575163398,0.8580312703806681,0.789529570454112,18
43,0.8181818181818182,0.9181818181818181,0.8181818181818182,11
45,0.9313186813186813,0.87385484244671,0.9316395229183998,20
47,0.48836737650296974,0.5769774807083446,0.47870232419895903,59
51,0.5478965478965478,0.5154888083302552,0.5505313760819293,22
60,0.7551830255911889,0.7306598447830244,0.7355578211801704,49
65,0.7915888615888615,0.7521728897794434,0.781920469991779,37
66,0.37181616832779624,0.47093469151761996,0.35832774852654475,43
