document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.22782312925170067,0.3133079202934548,0.20774750833602335,35
17,0.2348715348208249,0.2791499273479699,0.22316192798823653,29
25,0.5429012345679012,0.6468750943628394,0.5274238731907865,18
43,0.09090909090909091,0.12929292929292927,0.09090909090909091,11
45,0.2958333333333333,0.37645059082605165,0.28390574283095094,20
47,0.01694915254237288,0.12575422641659267,0.01694915254237288,59
51,0.21168831168831168,0.2946319748867801,0.20390053623094498,22
60,0.10226947922025953,0.22005223404459073,0.10115007322738977,49
65,0.05202702702702703,0.20020294249041443,0.049349664879738506,37
66,0.023255813953488372,0.17986279185012963,0.023255813953488372,43
