document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.716530612244898,0.6844543431458431,0.6924446820188807,35
17,0.5787512352421075,0.5283435135537848,0.5602802200869668,29
25,0.8055555555555556,0.8715703775830358,0.806863159827909,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.9126318126318127,0.8458540667079399,0.9163091299946021,20
47,0.7700999565406346,0.8061534150629055,0.7534315729678104,59
51,0.844040404040404,0.7131225054795436,0.8540806665288346,22
60,0.8049400712666018,0.7669535578397562,0.7804156937852254,49
65,0.8103194103194102,0.8182590443201649,0.8024528329081295,37
66,0.717607973421927,0.7169824524930098,0.7004894907176888,43
