document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.740204081632653,0.7504822423307352,0.7344442638819682,35
17,0.5039817349655078,0.4728411742701589,0.48897084049534584,29
25,0.8098290598290598,0.8755428984910405,0.8090866112289539,18
43,0.14285714285714288,0.8484848484848485,0.14361260650342417,11
45,0.9213186813186812,0.8701255740528129,0.9153155481473039,20
47,0.060092449922958396,0.22355122266140048,0.05973883204145278,59
51,0.8494949494949495,0.7041157403083949,0.8636363636363638,22
60,0.0,0.1650736756183675,0.0,49
65,0.8486076986076986,0.8238573300655094,0.8430134227117996,37
66,0.7460080512406093,0.7311083416866881,0.7282441833129687,43
