document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7744897959183673,0.7734072018813105,0.7604649602191887,35
17,0.32702709731107293,0.37039592353543066,0.3215805309910258,29
25,0.7901234567901234,0.8717681623931625,0.7848533072108219,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.8997909035409035,0.8380712494027712,0.8928435189445991,20
47,0.4813186813186813,0.6271051114976627,0.4755325721844448,59
51,0.8246031746031747,0.6599080468019637,0.8210035672648903,22
60,0.7697602850664075,0.7499060024623184,0.7457908363100153,49
65,0.38528528528528533,0.45399399715825856,0.3737498975105169,37
66,0.12956810631229235,0.24531629933256457,0.1285927926394537,43
