document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7414285714285714,0.7505117526039395,0.7271523834347481,35
17,0.19770114942528735,0.28757491802324336,0.1929562556684203,29
25,0.7901234567901234,0.8825706315289649,0.7848533072108219,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.8698051948051948,0.8120996137228712,0.8649333611226078,20
47,0.44570344909327964,0.4949971413010609,0.4354931037046567,59
51,0.7222222222222222,0.6501207321267838,0.7272727272727274,22
60,0.7266763848396501,0.7155390339386126,0.7044968045916494,49
65,0.09788424788424789,0.20632906581484486,0.0926606418767271,37
66,0.046511627906976744,0.17085227408775497,0.04478504212242181,43
