document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.67,0.7454959332781913,0.6660133508161818,40
17,0.24999999999999994,0.2359782120395328,0.20000458876982855,8
25,0.56,0.6867015098722415,0.5582683207860341,15
43,0.1,0.9099999999999999,0.1,10
45,0.888888888888889,0.8989247311827957,0.8813525433707887,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.5151515151515151,0.6223484848484848,0.5072489701397879,11
60,0.15196078431372548,0.2408630828036747,0.15383590007746092,153
65,0.23862247408606757,0.29688633358351707,0.2559651688197387,83
66,0.4712430426716141,0.5367597159432859,0.47005603039179983,77
