document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.6950000000000001,0.7430718642916224,0.6910133508161819,40
17,0.3621794871794871,0.20668612510316173,0.3014965599075289,8
25,0.7155555555555555,0.8000877532584849,0.7196190760168564,15
43,0.1,0.9099999999999999,0.1,10
45,0.888888888888889,0.8989247311827957,0.8813525433707887,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.8242424242424242,0.8620700245700246,0.8137236998605339,11
60,0.17160493827160495,0.25280318130801366,0.16992468873059655,153
65,0.23150784958013873,0.3213247849254834,0.22899827849203616,83
66,0.32792207792207795,0.4063604771930407,0.3269582607583552,77
