document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7116666666666667,0.7528982531805112,0.7055068176046235,40
17,0.37254901960784315,0.23647290209790212,0.32145411149284364,8
25,0.7155555555555555,0.8000877532584849,0.7196190760168564,15
43,0.1,0.9099999999999999,0.1,10
45,0.888888888888889,0.8989247311827957,0.8813525433707887,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.3333333333333333,0.45048701298701294,0.32543078832160605,11
60,0.15119825708061002,0.24103827626872604,0.1526501750193117,153
65,0.1566265060240964,0.2705727199876431,0.15921141528572508,83
66,0.4712430426716141,0.5363268155103855,0.47005603039179983,77
